latitude,longitude,precip_detection,precip_quantile,tp_rollingmax,drought_quantile,drought_detection,DisNo.,iso,disaster_type,start_date,end_date,event_index,start_drought_days,drought_index,precip_var,year,BARE,BUILT,GRASS-MAN,GRASS-NAT,SHRUBS,TREES,WATER,rank
30.3,67.8,tp_rollingmax,0.95,0.1571276433737609,0.15,pei_30,2019-0346-PAK,PAK,Flood,2019-07-16,2019-07-28,145,40,pei_30,tp_rollingmax,2019,2.974789915966386,0.0,1.365546218487395,95.57563025210084,0.0504201680672268,0.0336134453781512,0.0,4.0
24.9,67.0,tp_rollingmax,0.95,0.0521101603203814,0.15,pei_90,2019-0372-PAK,PAK,Flood,2019-07-29,2019-07-31,146,40,pei_90,tp_rollingmax,2019,1.1365638766519823,67.5,4.07488986784141,27.1784140969163,0.0,0.0,0.1101321585903083,4.0
26.2,68.0,tp_rollingmax,0.95,0.0758301424035681,0.15,pei_90,2019-0386-PAK,PAK,Flood,2019-08-09,2019-08-12,147,40,pei_90,tp_rollingmax,2019,12.02391304347826,0.0,63.35,15.132608695652172,1.5478260869565217,0.0,7.945652173913044,4.0
48.5,6.2,tp_rollingmax,0.95,0.0271408804323433,0.15,pei_30,2019-0388-FRA,FRA,Storm,2019-08-09,2019-08-09,414,40,pei_30,tp_rollingmax,2019,0.0,0.6564516129032258,66.66209677419354,19.71370967741936,0.0,12.96774193548387,0.0,4.0
15.6,35.1,tp_rollingmax,0.95,0.0365721810353911,0.15,pei_90,2019-0392-SDN,SDN,Flood,2019-07-01,2019-09-06,148,40,pei_90,tp_rollingmax,2019,0.2336448598130841,0.0,27.095794392523363,72.67056074766356,0.0,0.0,0.0,4.0
37.6,-1.7,tp_rollingmax,0.95,0.1666506896400197,0.15,pei_90,2019-0413-ESP,ESP,Flood,2019-09-11,2019-09-16,149,40,pei_90,tp_rollingmax,2019,10.617760617760618,0.1737451737451737,86.1003861003861,3.108108108108108,0.0,0.0,0.0,4.0
33.0,-95.4,tp_rollingmax,0.95,0.0342726076171283,0.15,pei_30,2019-0417-USA,USA,Storm,2019-09-17,2019-09-21,417,40,pei_30,tp_rollingmax,2019,0.0,0.0,2.2459514170040484,79.27024291497976,0.0,18.4838056680162,0.0,4.0
-6.8,37.7,tp_rollingmax,0.95,0.0481792964650508,0.15,pei_30,2019-0496-TZA,TZA,Flood,2019-10-02,2019-10-16,158,40,pei_30,tp_rollingmax,2019,0.0,8.865853658536585,43.00731707317073,29.55,6.326829268292683,12.25,0.0,4.0
4.2,41.7,tp_rollingmax,0.95,0.0559650476835306,0.15,pei_30,2019-0500-ETH,ETH,Flood,2019-10-01,2019-10-13,160,40,pei_30,tp_rollingmax,2019,0.0,0.0,0.0,96.8780487804878,3.1219512195121952,0.0,0.0,4.0
43.9,4.5,tp_rollingmax,0.95,0.0739538130103798,0.15,pei_90,2019-0505-FRA,FRA,Flood,2019-10-21,2019-10-24,162,40,pei_90,tp_rollingmax,2019,0.1514084507042253,2.689260563380281,69.76320422535211,12.21830985915493,0.9198943661971832,14.257922535211268,0.0,4.0
